# stem	class	alternations	source	provenance	target	verdict	impact	forms	blast_radius	evidence	examples
#
# CANDIDATES, NOT ENTRIES. Proposed loan stems mined from Wikidata labels by
# scripts/mine_wikidata_labels.py. Nothing here is applied: the stem inventory is what
# holds the false-positive rate at zero, and it stays hand-reviewed.
#
# Wikidata labels are aligned by construction — one item, a `be` label and a
# `be-tarask` label — so there is no sentence alignment and no similarity threshold
# here, and no bias from either. Wikidata is CC0.
#
# Only differences that are IN SCOPE (differ solely by modelled alternations) and that
# need a stem (l, i, e, g, eu — not bare softness) become candidates.
#
# verdict       what 17M tokens of genuine be-tarask say about the blast radius:
#                 supported  Taraškievica writes the converted form and not the original
#                 refuted    it writes the ORIGINAL — the stem would corrupt real words
#                 unknown    too rare there to say; read the blast radius yourself
#               Weak evidence, treated as weak: an unconverted form on be-tarask looks
#               exactly like a refutation, so `unknown` rejects nothing.
# impact        tokens in data/corpora/frequency_be.tsv this stem would resolve
# forms         how many distinct forms it matches there
# blast_radius  the most frequent of those forms. THIS IS THE REVIEW COLUMN: longest
#               match only protects against a false friend when a native guard already
#               exists, so if a listed form is ordinary Belarusian vocabulary, add the
#               guard in the same pass. A ! marks forms the converter currently leaves
#               alone — those are what would start changing.
# evidence      the counts behind the verdict, so it can be checked rather than believed.
#
# Sorted by verdict, then impact. NOT by impact alone: a short stem matching native
# vocabulary has the largest blast radius by construction, so impact order puts the
# most destructive candidates at the top — `бел` from Бела → Бэла scores 454,828, and
# all of it is беларускі, беларусь, Беларусі. Supported first means the top of this
# file is work worth doing.
ўніверсітэт	loan	e,i	Wikidata Q2072655,Q214341	derived	ўнівэрсытэт	supported	29850	6	!ўніверсітэта(16300) !ўніверсітэт(12205) !ўніверсітэты(456) !ўніверсітэтаў(303) !ўніверсітэтах(296) !ўніверсітэту(290)	ўнівэрсытэта=244 vs ўніверсітэта=64; ўнівэрсытэт=2681 vs ўніверсітэт=58; ўнівэрсытэты=211 vs ўніверсітэты=0	ўніверсітэт→ўнівэрсытэт ўніверсітэт→ўнівэрсытэт ўніверсітэт→ўнівэрсытэт ўніверсітэт→ўнівэрсытэт
амерык	loan	e	Wikidata Q221474,Q828	derived	амэрык	supported	28978	15	!амерыканскі(8056) !амерыкі(5444) !амерыканская(3014) !амерыканскай(2290) !амерыканскіх(2040) !амерыканскага(1985)	амэрыканскі=2398 vs амерыканскі=0; амэрыкі=1751 vs амерыкі=42; амэрыканская=785 vs амерыканская=0	Амерыкі→Амэрыкі Амерыка→Амэрыка Амерыка→Амэрыка Амерыкі→Амэрыкі
імперы	loan	e	Wikidata Q1974218,Q12560	derived	імпэры	supported	26654	4	!імперыі(20744) !імперыя(4181) !імперыяй(1010) !імперыю(719)	імпэрыі=11100 vs імперыі=70; імпэрыя=1560 vs імперыя=0; імпэрыяй=434 vs імперыяй=0	імперыі→імпэрыі імперыя→імпэрыя імперыя→імпэрыя імперыя→імпэрыя
генерал	loan	e	Wikidata Q6482685,Q83460	derived	генэрал	supported	22671	21	!генерал(4161) !генерала(3074) !генеральнага(2448) !генеральны(1993) !генерал-маёр(1698) !генерал-лейтэнант(1654)	генэрал=1183 vs генерал=50; генэрала=853 vs генерала=35; генэральнага=652 vs генеральнага=30	Генералы→Генэралы генерал→генэрал Генерал→Генэрал Генерал→Генэрал
амерыкан	loan	e	Wikidata Q467421	derived	амэрыкан	supported	21997	12	!амерыканскі(8056) !амерыканская(3014) !амерыканскай(2290) !амерыканскіх(2040) !амерыканскага(1985) !амерыканскія(1300)	амэрыканскі=2398 vs амерыканскі=0; амэрыканская=785 vs амерыканская=0; амэрыканскай=626 vs амерыканскай=0	Амерыкана→Амэрыкана
клас	loan	l	Wikidata Q192618	derived	кляс	supported	20971	22	класа(3833) клас(1983) класіфікацыя(1676) класаў(1592) класіфікацыі(1505) класічнай(1434)	кляса=359 vs класа=50; кляс=123 vs клас=23; клясаў=456 vs класаў=0	Клас→Кляс
амерыканск	loan	e	Wikidata Q82728,Q40261	derived	амэрыканск	supported	20962	10	!амерыканскі(8056) !амерыканская(3014) !амерыканскай(2290) !амерыканскіх(2040) !амерыканскага(1985) !амерыканскія(1300)	амэрыканскі=2398 vs амерыканскі=0; амэрыканская=785 vs амерыканская=0; амэрыканскай=626 vs амерыканскай=0	Амерыканскі→Амэрыканскі Амерыканскі→Амэрыканскі
галактык	loan	l	Wikidata Q318	derived	галяктык	supported	17327	3	!галактыка(14770) !галактыкі(1875) !галактык(682)	галяктыка=356 vs галактыка=0; галяктыкі=422 vs галактыкі=30; галяктык=99 vs галактык=0	галактыка→галяктыка
газет	loan	e	Wikidata Q85398871,Q3920707	derived	газэт	supported	15529	6	!газеты(6639) !газета(6153) !газету(869) !газет(790) !газетах(729) !газетай(349)	газэты=3198 vs газеты=226; газэту=531 vs газету=0; газэт=146 vs газет=0	газета→газэта газета→газэта газета→газэта газета→газэта
энцыклапеды	loan	e,l	Wikidata Q2634919,Q2995179	derived	энцыкляпэды	supported	14888	3	!энцыклапедыя(11812) !энцыклапедычны(1818) !энцыклапедыі(1258)	энцыкляпэдыі=476 vs энцыклапедыі=26	Энцыклапедыя→энцыкляпэдыя Энцыклапедыя→энцыкляпэдыя энцыклапедыя→энцыкляпэдыя Энцыклапедыя→энцыкляпэдыя
