# narkamauka<TAB>taraskievica<TAB>title_be<TAB>revid_be<TAB>title_tarask<TAB>revid_tarask<TAB>similarity
#
# Sentence pairs mined from be.wikipedia.org and be-tarask.wikipedia.org by
# scripts/fetch_parallel_corpus.py. The two wikis are written independently, so
# these are not translations: they are sentences the aligner judged to be the same
# sentence (same token count, >=60% of tokens identical, a clear margin over the
# runner-up). The sample is therefore biased towards short, formulaic sentences.
#
# MEASUREMENT ONLY. Never read by lexicon building, stem mining or model training:
# it exists to measure recall, and a set you have fitted to measures nothing.
# Text is CC BY-SA 4.0; see parallel.README.md.
Аданталогія разглядае пытанні, звязаныя з анатоміяй, фізіялогіяй, паталогіяй і прафілактыкай захворванняў органаў жавання і падзі, разглядаючы іх у сувязі з агульным станам арганізму чалавека і сацыяльнымі ўмовамі яго існавання.	Аданталёгія разглядае пытаньні, зьвязаныя з анатоміяй, фізыялёгіяй, паталёгіяй і прафіляктыкай захворваньняў органаў жаваньня і падзі, разглядаючы іх у сувязі з агульным станам арганізму чалавека і сацыяльнымі ўмовамі ягонага існаваньня.	Аданталогія	4348209	Аданталёгія	2180876	0.655
Палац Астрожскіх — барочны асабняк у Варшаве, у якім знаходзіцца Музычнае таварыства імя Фрэдэрыка Шапена.	Палац Астроскіх — барокавы асабняк у Варшаве, у якім знаходзіцца Музычнае таварыства імя Фрыдэрыка Шапэна.	Палац Астрожскіх	4833747	Палац Астроскіх	2270239	0.714
Будаўніцтва варшаўскай рэзідэнцыі задумаў апошні з князёў Астрожскіх, Януш, які прыняў каталіцтва.	Будаўніцтва варшаўскай рэзыдэнцыі задумаў апошні з князёў Астроскіх, Януш, які прыняў каталіцтва.	Палац Астрожскіх	4833747	Палац Астроскіх	2270239	0.833
Пасля яго смерці ў 1620 годзе на месцы падрыхтаванага ім для замка ўзнёслага бастыёна дыпламат Ян Гнінскі пабудаваў уласны асабняк (арх.	Пасьля ягонай сьмерці ў 1620 року на месцы падрыхтаванага ім для замка ўзьнёслага бастыёну дыплямат Ян Гнінскі пабудаваў уласны асабняк (арх.	Палац Астрожскіх	4833747	Палац Астроскіх	2270239	0.650
Вядома, што на ёй з’явіўся першы ў Еўропе святлафор, набыты ў Нью-Ёрку і ўсталяваны ў Берліне ў 1924 годзе.	Вядома, што на ім зьявіўся першы ў Эўропе сьветлафор, набыты ў Нью-Ёрку і ўсталяваны ў Бэрліне ў 1924 годзе.	Патсдамская плошча	3232955	Патсдамэрпляц	2471463	0.722
Некаторыя лічаць, што першы ў Еўропе электрычны ліхтар таксама быў усталяваны на Патсдамскай плошчы.	Некаторыя лічаць, што першы ў Эўропе электрычны ліхтар таксама быў усталяваны на Патсдамскім пляцы.	Патсдамская плошча	3232955	Патсдамэрпляц	2471463	0.786
Да Другой сусветнай вайны на плошчы і ў сумежных кварталах размяшчаліся ўрадавыя ўстановы, яна была раёнам забаўляльных устаноў і буйным транспартным вузлом.	Да Другой сусьветнай вайны на пляцы і ў сумежных кварталах разьмяшчаліся ўрадавыя ўстановы, ён быў раёнам забаўляльных установаў і буйным транспартным вузлом.	Патсдамская плошча	3232955	Патсдамэрпляц	2471463	0.727
Падчас бітвы за Берлін шматлікія будынкі былі разбураны.	Падчас бітвы за Бэрлін шматлікія будынкі былі разбураныя.	Патсдамская плошча	3232955	Патсдамэрпляц	2471463	0.750
Пасля вайны некаторыя захаваныя будынкі былі спехам залатаны, аднак пасля ўзвядзення ў 1961 годзе Берлінскай сцяны апынуўшыся пасярод памежнай зоны былі знесены, і на доўгія гады гэты некалі ажыўлены куток Берліна апынуўся ў запусценні.	Пасьля вайны некаторыя захаваныя будынкі былі сьпехам залатаны, аднак пасьля ўзьвядзеньня ў 1961 годзе Бэрлінскага муру апынуўшыся пасярод памежнай зоны былі зьнесены, і на доўгія гады гэты некалі ажыўлены куток Бэрліну апынуўся ў запусьценьні.	Патсдамская плошча	3232955	Патсдамэрпляц	2471463	0.727
З 1921 года ў складзе Польшчы.	З 1921 году ў складзе Польшчы.	Фядоры	5171794	Фядоры	1960763	0.800
Поўсць неаднастайная па колеры: шэрая — з пераходам у рудую, або сівое футра з цёмнай рыскай на спіне.	Поўсьць неаднастайная па колеры: шэрая — зь пераходам у рудую, або сівое футра зь цёмнай рыскай на сьпіне.	Янотападобны сабака	5019247	Янотападобны сабака	2096259	0.765
Уваходзіць у склад Лунненскага сельсавета.	Уваходзіць у склад Луньненскага сельсавету.	Дубраўляны (Мастоўскі раён)	4911185	Дубраўляны (Мастоўскі раён)	2303864	0.600
Край складаецца з дзесяці воласцяў і горада Тукумс, які з’яўляецца цэнтрам краю.	Край складаецца зь дзесяці воласьцяў і гораду Тукумс, які зьяўляецца цэнтрам краю.	Тукумскі край	4506687	Тукумскі край	2203948	0.667
Насельніцтва на 1 студзеня 2010 года склала 33396 чалавек.	Насельніцтва на 1 студзеня 2010 году склала 33 396 чалавек.	Тукумскі край	4506687	Тукумскі край	2203948	0.833
Горад з’яўляўся сталіцай Новай незалежнай Сербіі, вызваленай ад турэцкага панавання.	Горад зьяўляўся сталіцай Новай незалежнай Сэрбіі, вызваленай ад турэцкага панаваньня.	Крагуевац	5000492	Крагуевац	2504474	0.700
Падчас Другой сусветнай вайны ў выніку карнай аперацыі 21-21 кастрычніка, гітлераўцамі тут было забіта каля 5 тыс. чал.	Падчас Другой сусьветнай вайны ў выніку карнай апэрацыі 21-21 кастрычніка, гітлераўцамі тут было забіта каля 5 тыс. чал.	Крагуевац	5000492	Крагуевац	2504474	0.882
У Амерыцы яна звярнулася да скульптуры.	У ЗША яна зьвярнулася да скульптуры.	Луіза Буржуа	4434195	Люіза Буржуа	2583247	0.667
У 1951 годзе памёр бацька мастачкі, Луіза Буржуа атрымала амерыканскае грамадзянства.	У 1951 годзе памёр бацька мастачкі, Люіза Буржуа атрымала амэрыканскае грамадзянства.	Луіза Буржуа	4434195	Люіза Буржуа	2583247	0.800
З 1966 года стала ўдзельніцай феміністычнага руху.	З 1966 году стала ўдзельніцай фэміністычнага руху.	Луіза Буржуа	4434195	Люіза Буржуа	2583247	0.667
У 1967 годзе Буржуа пачала выкарыстоўваць мармур і бронзу пры стварэнні скульптур.	У 1967 годзе Буржуа пачала выкарыстоўваць мармур і бронзу пры стварэньні скульптураў.	Луіза Буржуа	4434195	Люіза Буржуа	2583247	0.818
У 1977 годзе мастачка атрымала ганаровую ступень доктара вытанчаных мастацтваў Ельскага ўніверсітэта.	У 1977 годзе мастачка атрымала ганаровую ступень доктара вытанчаных мастацтваў Ельскага ўнівэрсытэта.	Луіза Буржуа	4434195	Люіза Буржуа	2583247	0.909
У 1985 годзе адбылася першая персанальная выстаўка мастачкі ў Францыі.	У 1985 годзе адбылася першая пэрсанальная выстава мастачкі ў Францыі.	Луіза Буржуа	4434195	Люіза Буржуа	2583247	0.778
У 1992 годзе Буржуа паказвае першы скульптурны энвайранмент.	У 1992 годзе Буржуа паказала першы скульптурны энвайранмэнт.	Луіза Буржуа	4434195	Люіза Буржуа	2583247	0.714
У 1993 годзе прадстаўляе ЗША на Венецыянскай біенале.	У 1993 годзе прадставіла ЗША на Вэнэцыянскім біенале.	Луіза Буржуа	4434195	Люіза Буржуа	2583247	0.714
Паэзія Міколы Шабовіча — лірычна-філасофская.	Паэзія Міколы Шабовіча — лірычна-філязофская.	Мікола Шабовіч	4976235	Мікола Шабовіч	2474991	0.750
Яна акумулюе як трагедыйнасць нашага часу, так і імгненні шчасця, радасць жыць і тварыць на роднай зямлі.	Яна акумулюе як трагедычнасьць нашага часу, так і імгненьні шчасьця, радасьць жыць і тварыць на роднай зямлі.	Мікола Шабовіч	4976235	Мікола Шабовіч	2474991	0.765
На вершы Міколы Шабовіча напісана больш як 180 песень, якія выконвалі Ірына Дарафеева, Алеся Гайдук, Алег Цівуноў, Дзмітрый Мінько і іншыя.	На вершы Міколы Шабовіча напісана больш як 180 песень, якія выконвалі Ірына Дарафеева, Алеся Гайдук, Алег Цівуноў, Дзьмітры Мінько і іншыя.	Мікола Шабовіч	4976235	Мікола Шабовіч	2474991	0.950
Шабовіч. — Дапаможнік. — Мінск : БДПУ, 2007. — 54 с.	Шабовіч. — Дапаможнік. — Менск : БДПУ, 2007. — 54 с.	Мікола Шабовіч	4976235	Мікола Шабовіч	2474991	0.800
Беларуская мова і культура маўлення: зборнік тыпавых вучэбных праграм па беларускай мове. — Мінск : Права і эканоміка, 2011. — 46 с. (у сааўтарстве).	Беларуская мова і культура маўлення: зборнік тыпавых вучэбных праграм па беларускай мове. — Менск : Права і эканоміка, 2011. — 46 с. (у сааўтарстве).	Мікола Шабовіч	4976235	Мікола Шабовіч	2474991	0.947
Сучасная беларуская мова: зборнік тыпавых вучэбных праграм па беларускай мове. — Мінск : Права і эканоміка, 2011. — 47 с. (у сааўтарстве).	Сучасная беларуская мова: зборнік тыпавых вучэбных праграм па беларускай мове. — Менск : Права і эканоміка, 2011. — 47 с. (у сааўтарстве).	Мікола Шабовіч	4976235	Мікола Шабовіч	2474991	0.941
Мая надзея: вершы / Мікола Шабовіч. — Мінск: Мастацкая літаратура, 2006. — 174 с.	Мая надзея: вершы / Мікола Шабовіч. — Менск: Мастацкая літаратура, 2006. — 174 с.	Мікола Шабовіч	4976235	Мікола Шабовіч	2474991	0.889
У 1991 годзе Персідскі заліў зноў стаў арэнай «вайны ў Заліве», падчас якой Ірак акупаваў Кувейт, але потым праз умяшанне амерыканскіх войск быў вымушаны вярнуцца ў свае межы.	У 1991 годзе Пэрсыдзкая затока ізноў стала арэнай «вайны ў Затоцы», падчас якой Ірак акупаваў Кувэйт, але потым праз умяшаньне амэрыканскіх войскаў быў вымушаны вярнуцца ў свае межы.	Персідскі заліў	5183528	Пэрсыдзкая затока	2305882	0.667
